 # i m r dens pres
           1   219877627213463.75        125.40790278919606        3326807.9445532621        2.3352294399020782E+023
           2   226540139195658.19        252.06988460628406        3326807.9445532537        2.3352294399020685E+023
           3   254535838202982.06        258.34027974574383        3326807.9445532113        2.3352294399020181E+023
           4   389526629143883.88        283.42186030358306        3326807.9445530265        2.3352294399018024E+023
           5   1392182681404941.8        383.74818253493993        3326807.9445520621        2.3352294399006739E+023
           6   18858051180730640.        785.05347146036729        3326807.9445445836        2.3352294398919249E+023
           7   6.9134355056084070E+017   2390.2746271620767        3326807.9444567552        2.3352294397891746E+023
           8   3.5569169750995448E+019   8670.3995809200751        3326807.9432302238        2.3352294383542495E+023
           9   5.0807392189753098E+020   23412.753872047913        3326807.9360511391        2.3352294299554027E+023
          10   4.4888588667053718E+021   50854.507441603382        3326807.9062229278        2.3352293950592310E+023
          11   2.2251624755391216E+022   92716.039488948969        3326807.8231835458        2.3352292979110493E+023
          12   7.8733168068497425E+022   147494.50650994197        3326807.6445509954        2.3352290889279550E+023
          13   2.2929903707777794E+023   216227.48982473710        3326807.3072119439        2.3352286942733711E+023
          14   5.8363716261046900E+023   300812.41680376109        3326806.7196858418        2.3352280069238178E+023
          15   1.3406080874176626E+024   402741.91886520281        3326805.7594536860        2.3352268835438783E+023
          16   2.8375778060708553E+024   523261.55654558120        3326804.2687128838        2.3352251395199200E+023
          17   5.6172937901463638E+024   663509.96254405892        3326802.0494068498        2.3352225431454145E+023
          18   1.0515662303142887E+025   824560.52938835789        3326798.8582841032        2.3352188098409431E+023
          19   1.8774080303245020E+025   1007435.8216810436        3326794.4019857980        2.3352135964077106E+023
          20   3.2180186958194558E+025   1213115.5225217580        3326788.3321193671        2.3352064952651870E+023
          21   5.3241016481980571E+025   1442541.5542217169        3326780.2403287040        2.3351970286852178E+023
          22   8.5392976001133779E+025   1696622.4332972858        3326769.6533336886        2.3351846429909992E+023
          23   1.3325282037014368E+026   1976236.7319111759        3326756.0279600723        2.3351687027457589E+023
          24   2.0291449996949573E+026   2282235.7062548781        3326738.7461638311        2.3351484849362603E+023
          25   3.0229665404401254E+026   2615446.1526116030        3326717.1100110402        2.3351231731059775E+023
          26   4.4154536011524972E+026   2976672.2772706626        3326690.3366768989        2.3350918515128450E+023
          27   6.3349805019438037E+026   3366697.6151146358        3326657.5534100691        2.3350534992491754E+023
          28   8.9421319799084884E+026   3786286.9591681883        3326617.7924636211        2.3350069843259501E+023
          29   1.2435708652500574E+027   4236187.1919482900        3326569.9860935425        2.3349510578403857E+023
          30   1.7059519725784486E+027   4717128.9359682091        3326512.9614573303        2.3348843480317924E+023
          31   2.3110004702358015E+027   5229828.5817623241        3326445.4354157094        2.3348053542303767E+023
          32   3.0944728262676300E+027   5774988.7374608181        3326366.0094727934        2.3347124409755368E+023
          33   4.0991854804720839E+027   6353299.1582105998        3326273.1646373230        2.3346038320508113E+023
          34   5.3760612552238042E+027   6965437.7739907056        3326165.2562543657        2.3344776044948855E+023
          35   6.9852895183669668E+027   7612071.9771358464        3326040.5087202182        2.3343316824884742E+023
          36   8.9975952039785360E+027   8293859.5076170005        3325897.0102289333        2.3341638312927971E+023
          37   1.1495637489856042E+028   9011449.1242709793        3325732.7074893899        2.3339716511705796E+023
          38   1.4575535264598736E+028   9765481.9411811288        3325545.4002571413        2.3337525711100436E+023
          39   1.8348528258406179E+028   10556591.692671008        3325332.7360364394        2.3335038427705643E+023
          40   2.2942792585467090E+028   11385405.831444409        3325092.2045190264        2.3332225341463716E+023
          41   2.8505408927298197E+028   12252546.987874042        3324821.1318095131        2.3329055230102911E+023
          42   3.5204475232545918E+028   13158632.507121544        3324516.6751514552        2.3325494909767405E+023
          43   4.3231441221315112E+028   14104276.335825821        3324175.8168051378        2.3321509166109165E+023
          44   5.2803560878213324E+028   15090089.789066944        3323795.3582114764        2.3317060689157505E+023
          45   6.4166605694357094E+028   16116681.977147613        3323371.9140764992        2.3312110007747954E+023
          46   7.7597735109174138E+028   17184661.621677987        3322901.9058559318        2.3306615417483962E+023
          47   9.3408595900191962E+028   18294636.833352618        3322381.5558666661        2.3300532916642744E+023
          48   1.1194867922476628E+029   19447216.826461378        3321806.8804338584        2.3293816131494112E+023
          49   1.3360888640849538E+029   20643013.126957856        3321173.6830294114        2.3286416242287456E+023
          50   1.5882539058970463E+029   21882640.585064247        3320477.5472341478        2.3278281908036049E+023
          51   1.8808374100003980E+029   23166718.593503200        3319713.8293799064        2.3269359188514073E+023
          52   2.2192329183008850E+029   24495872.145168550        3318877.6509802388        2.3259591464844773E+023
          53   2.6094188120193186E+029   25870732.506990477        3317963.8911899473        2.3248919361599614E+023
          54   3.0580097427594108E+029   27291939.195750237        3316967.1780636963        2.3237280656175882E+023
          55   3.5723109204970575E+029   28760142.695437871        3315881.8788275085        2.3224610178098180E+023
          56   4.1603748249126371E+029   30276003.715992160        3314702.0921998294        2.3210839733853679E+023
          57   4.8310662723617393E+029   31840196.674783215        3313421.6371017946        2.3195897991350969E+023
          58   5.5941259977334914E+029   33453411.044648912        3312034.0425703553        2.3179710380379198E+023
          59   6.4602445644959256E+029   35116351.964499973        3310532.5375768272        2.3162198994143913E+023
          60   7.4411399316993103E+029   36829745.452974454        3308910.0362942261        2.3143282440115353E+023
          61   8.5496376626097554E+029   38594338.480978243        3307159.1270339834        2.3122875736352344E+023
          62   9.7997618393403209E+029   40410900.947735086        3305272.0587915424        2.3100890182886416E+023
          63   1.1206830171463828E+030   42280229.573749222        3303240.7250662367        2.3077233204602278E+023
