HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456784.49997,2014-05-07.0014416,bf,2.23,99.990,99.990,99.990,99.990,99.990,V
2456784.50143,2014-05-07.0028988,bf,2.18,16.311,14.795,0.054,4.634,0.230,V
2456785.49787,2014-05-07.9993486,bf,2.07,99.990,99.990,99.990,99.990,99.990,V
2456785.49936,2014-05-08.0008413,bf,2.13,16.196,14.692,0.055,5.094,0.255,V
2456786.49519,2014-05-08.9966878,bf,2.31,99.990,99.990,99.990,99.990,99.990,V
2456786.49667,2014-05-08.9981665,bf,2.28,99.990,99.990,99.990,99.990,99.990,V
2456790.49283,2014-05-12.9943840,bf,1.57,15.968,14.774,0.073,4.725,0.315,V
2456790.49427,2014-05-12.9958204,bf,1.62,16.174,14.698,0.056,5.067,0.260,V
2456793.47325,2014-05-15.9748422,bf,1.53,16.325,14.717,0.050,4.978,0.227,V
2456795.46845,2014-05-17.9700662,bf,1.52,16.696,14.678,0.034,5.163,0.161,V
2456795.46997,2014-05-17.9715855,bf,1.65,16.580,14.654,0.037,5.276,0.179,V
2456796.47170,2014-05-18.9733178,bf,1.56,16.612,14.722,0.038,4.956,0.174,V
2456796.47333,2014-05-18.9749475,bf,1.53,16.691,14.687,0.034,5.117,0.162,V
2456805.44654,2014-05-27.9482207,bf,1.71,15.877,14.743,0.077,4.860,0.342,V
2456805.44800,2014-05-27.9496907,bf,1.58,16.080,14.806,0.068,4.587,0.284,V
2456852.94650,2014-07-14.4477473,bf,1.60,15.969,14.778,0.073,4.706,0.315,V
2456852.94826,2014-07-14.4495133,bf,1.55,15.910,14.543,0.062,5.841,0.332,V
2456857.94579,2014-07-19.4469232,bf,1.65,15.934,14.639,0.066,5.352,0.325,V
2456859.92460,2014-07-21.4256854,bf,1.49,16.522,14.575,0.036,5.671,0.189,V
2456859.92622,2014-07-21.4273010,bf,1.51,16.588,14.657,0.037,5.261,0.178,V
2456874.90728,2014-08-05.4079480,bf,1.45,16.797,14.677,0.031,5.163,0.147,V
2456874.90878,2014-08-05.4094407,bf,1.44,16.763,14.676,0.032,5.173,0.152,V
2456879.89049,2014-08-10.3910032,bf,1.47,16.166,14.896,0.068,4.224,0.262,V
2456879.89205,2014-08-10.3925564,bf,1.50,16.043,14.828,0.072,4.495,0.294,V
2456882.89133,2014-08-13.3917410,bf,1.51,16.396,14.772,0.049,4.734,0.212,V
2456882.89279,2014-08-13.3931986,bf,1.49,16.491,14.710,0.042,5.009,0.194,V
2456883.93232,2014-08-14.4326990,bf,1.56,16.318,14.686,0.049,5.122,0.228,V
2456883.93380,2014-08-14.4341782,bf,1.62,16.263,14.622,0.048,5.433,0.240,V
2456885.87817,2014-08-16.3784834,bf,1.47,16.521,14.715,0.041,4.987,0.189,V
2456885.87968,2014-08-16.3799927,bf,1.50,16.579,14.749,0.041,4.835,0.179,V
2456894.85150,2014-08-25.3515027,bf,1.67,16.812,14.785,0.034,4.677,0.145,V
2456894.85297,2014-08-25.3529799,bf,1.73,16.672,14.723,0.036,4.950,0.165,V
2456904.84495,2014-09-04.3446121,bf,1.42,16.841,14.721,0.031,4.958,0.141,V
2456904.84641,2014-09-04.3460693,bf,1.44,16.786,14.718,0.032,4.977,0.148,V
2456906.84997,2014-09-06.3495587,bf,1.58,16.599,14.750,0.040,4.831,0.176,V
2456906.85146,2014-09-06.3510387,bf,1.59,16.628,14.834,0.042,4.470,0.171,V
2456910.83973,2014-09-10.3391736,bf,1.59,16.299,14.792,0.055,4.649,0.232,V
2456910.84120,2014-09-10.3406437,bf,1.57,16.243,14.613,0.049,5.480,0.245,V
2456912.84201,2014-09-12.3413776,bf,1.41,16.461,14.766,0.046,4.758,0.200,V
2456912.84343,2014-09-12.3428031,bf,1.39,16.528,14.728,0.042,4.927,0.188,V
2456915.82652,2014-09-15.3257880,bf,1.52,16.642,14.732,0.038,4.912,0.169,V
2456915.82793,2014-09-15.3271965,bf,1.54,16.655,14.811,0.040,4.566,0.167,V
2456917.82174,2014-09-17.3209430,bf,1.38,16.676,14.692,0.035,5.095,0.164,V
2456917.82321,2014-09-17.3224094,bf,1.44,16.744,14.760,0.035,4.786,0.154,V
2456919.81630,2014-09-19.3154290,bf,1.45,15.741,14.734,0.087,4.902,0.388,V
2456919.81782,2014-09-19.3169409,bf,1.45,15.511,14.587,0.094,5.614,0.486,V
2456923.81087,2014-09-23.3098649,bf,1.39,16.784,14.717,0.032,4.980,0.149,V
2456923.81239,2014-09-23.3113776,bf,1.45,16.802,14.834,0.036,4.471,0.146,V
2456925.81788,2014-09-25.3168068,bf,1.45,16.806,14.722,0.032,4.956,0.146,V
2456925.81943,2014-09-25.3183579,bf,1.42,16.775,14.706,0.032,5.031,0.150,V
2456927.80106,2014-09-27.2999118,bf,1.49,16.761,14.731,0.034,4.918,0.152,V
2456927.80253,2014-09-27.3013829,bf,1.45,16.789,14.705,0.032,5.035,0.148,V
2456928.87842,2014-09-28.3772379,bf,1.39,16.435,14.770,0.047,4.742,0.205,V
2456928.87997,2014-09-28.3787998,bf,1.42,16.503,14.737,0.043,4.889,0.192,V
2456930.75896,2014-09-30.2577168,bf,1.47,16.749,14.718,0.034,4.971,0.153,V
2456930.76041,2014-09-30.2591667,bf,1.48,16.772,14.732,0.033,4.908,0.150,V
2456931.87913,2014-10-01.3778597,bf,1.55,16.747,14.705,0.033,5.036,0.154,V
2456931.88064,2014-10-01.3793674,bf,1.49,16.816,14.727,0.032,4.929,0.144,V
2456935.78803,2014-10-05.2866339,bf,1.67,16.497,14.718,0.042,4.973,0.194,V
2456935.78947,2014-10-05.2880637,bf,1.69,16.456,14.670,0.042,5.200,0.201,V
2456937.76831,2014-10-07.2668506,bf,1.73,16.198,14.823,0.062,4.518,0.255,V
2456937.76973,2014-10-07.2682666,bf,1.62,16.091,14.616,0.056,5.465,0.281,V
2456938.77786,2014-10-08.2763672,bf,1.56,16.121,14.704,0.059,5.036,0.274,V
2456938.77928,2014-10-08.2777899,bf,1.70,15.931,14.675,0.069,5.172,0.326,V
2456939.77945,2014-10-09.2779321,bf,1.52,16.213,14.748,0.057,4.838,0.251,V
2456939.78089,2014-10-09.2793653,bf,1.48,16.332,14.692,0.048,5.099,0.225,V
2456940.78443,2014-10-10.2828870,bf,1.65,15.889,14.628,0.069,5.401,0.338,V
2456940.78587,2014-10-10.2843181,bf,1.75,15.943,14.643,0.066,5.332,0.322,V
2456941.76798,2014-10-11.2663966,bf,1.52,16.305,14.709,0.050,5.016,0.231,V
2456941.76947,2014-10-11.2678916,bf,1.50,15.762,14.683,0.081,5.136,0.381,V
2456942.83213,2014-10-12.3305210,bf,1.60,16.254,14.703,0.052,5.043,0.242,V
2456942.83361,2014-10-12.3319936,bf,1.67,16.326,14.769,0.052,4.745,0.226,V
2456943.77218,2014-10-13.2705354,bf,1.71,16.486,14.720,0.043,4.967,0.195,V
2456943.77360,2014-10-13.2719715,bf,1.66,16.418,14.690,0.045,5.105,0.208,V
2456950.76224,2014-10-20.2604076,bf,1.40,16.772,14.721,0.033,4.963,0.150,V
2456950.76379,2014-10-20.2620003,bf,1.51,16.741,14.692,0.033,5.094,0.155,V
2456959.75645,2014-10-29.2544182,bf,1.47,16.801,14.792,0.034,4.648,0.147,V
2456964.75575,2014-11-03.2536045,bf,1.55,16.530,14.700,0.040,5.056,0.188,V
2456964.75720,2014-11-03.2550615,bf,1.58,16.513,14.796,0.045,4.629,0.191,V
2456965.73839,2014-11-04.2362274,bf,1.47,16.398,14.608,0.042,5.509,0.212,V
2456965.73980,2014-11-04.2376398,bf,1.47,16.400,14.617,0.042,5.458,0.211,V
2456968.73530,2014-11-07.2330843,bf,1.59,16.177,14.613,0.052,5.481,0.260,V
2456968.73672,2014-11-07.2345081,bf,1.57,16.084,14.601,0.056,5.543,0.283,V
2456971.72117,2014-11-10.2189057,bf,1.51,16.363,14.572,0.042,5.691,0.219,V
2456974.71640,2014-11-13.2140989,bf,1.45,16.568,14.601,0.036,5.544,0.181,V
2456974.71788,2014-11-13.2155743,bf,1.45,16.643,14.640,0.035,5.342,0.169,V
2456975.79288,2014-11-14.2905681,bf,1.45,16.617,14.599,0.034,5.548,0.173,V
2456977.78822,2014-11-16.2858797,bf,1.46,16.674,14.617,0.033,5.458,0.164,V
2456977.78966,2014-11-16.2873229,bf,1.46,16.695,14.621,0.032,5.441,0.161,V
2456978.78552,2014-11-17.2831628,bf,1.52,16.676,14.649,0.034,5.300,0.164,V
2456983.72446,2014-11-22.2220666,bf,1.48,16.777,14.677,0.032,5.163,0.150,V
2456983.72589,2014-11-22.2234939,bf,1.50,16.748,14.673,0.032,5.181,0.154,V
2456985.66639,2014-11-24.1639800,bf,1.47,16.743,14.690,0.033,5.101,0.154,V
2456985.66784,2014-11-24.1654275,bf,1.48,16.821,14.671,0.030,5.195,0.144,V
2456989.64889,2014-11-28.1464562,bf,1.44,15.724,14.727,0.087,4.930,0.394,V
2456989.65032,2014-11-28.1478789,bf,1.43,16.087,14.679,0.060,5.156,0.282,V
2456990.69715,2014-11-29.1947104,bf,1.44,16.282,14.655,0.049,5.271,0.236,V
2456990.69857,2014-11-29.1961285,bf,1.41,16.421,14.775,0.048,4.719,0.208,V
2456995.68320,2014-12-04.1807539,bf,1.71,16.192,14.737,0.057,4.887,0.256,V
2456995.68463,2014-12-04.1821782,bf,1.63,16.183,14.755,0.059,4.808,0.258,V
2456997.69018,2014-12-06.1877349,bf,1.57,16.037,14.722,0.065,4.954,0.295,V
2456997.69160,2014-12-06.1891504,bf,1.52,16.119,14.695,0.059,5.078,0.274,V
2456999.67946,2014-12-08.1770125,bf,1.51,16.229,14.724,0.055,4.948,0.248,V
2456999.68087,2014-12-08.1784260,bf,1.50,16.374,14.620,0.043,5.442,0.217,V
2457001.74209,2014-12-10.2396521,bf,1.50,16.523,14.740,0.042,4.873,0.189,V
2457001.74352,2014-12-10.2410802,bf,1.45,16.425,14.715,0.045,4.988,0.207,V
2457003.72652,2014-12-12.2240834,bf,1.44,15.813,14.843,0.090,4.431,0.363,V
2457003.72796,2014-12-12.2255230,bf,1.43,16.251,14.687,0.052,5.122,0.243,V
2457004.72495,2014-12-13.2225262,bf,1.43,16.187,14.758,0.059,4.794,0.258,V
2457004.72638,2014-12-13.2239516,bf,1.44,16.270,14.686,0.051,5.124,0.240,V
2457005.84128,2014-12-14.3388600,bf,1.50,16.692,14.721,0.036,4.959,0.162,V
2457005.84272,2014-12-14.3403008,bf,1.45,16.613,14.683,0.037,5.137,0.174,V
2457006.67895,2014-12-15.1765409,bf,1.46,16.807,14.703,0.031,5.044,0.146,V
2457006.68039,2014-12-15.1779697,bf,1.47,16.780,14.673,0.031,5.183,0.149,V
2457007.68908,2014-12-16.1866789,bf,1.48,16.784,14.785,0.035,4.678,0.149,V
2457007.69055,2014-12-16.1881372,bf,1.46,16.790,14.734,0.033,4.899,0.148,V
2457010.68039,2014-12-19.1779990,bf,1.50,16.854,14.723,0.031,4.950,0.139,V
2457010.68181,2014-12-19.1794244,bf,1.45,16.792,14.717,0.032,4.981,0.147,V
2457012.66898,2014-12-21.1666062,bf,1.44,16.409,14.749,0.047,4.831,0.210,V
2457012.67039,2014-12-21.1680252,bf,1.40,16.205,14.653,0.052,5.278,0.253,V
2457015.66882,2014-12-24.1664893,bf,1.55,16.750,14.691,0.033,5.098,0.153,V
2457015.67025,2014-12-24.1679127,bf,1.55,16.801,14.659,0.030,5.249,0.146,V
2457018.66834,2014-12-27.1660398,bf,1.56,16.772,14.715,0.033,4.987,0.150,V
2457018.66976,2014-12-27.1674613,bf,1.55,16.759,14.775,0.035,4.717,0.152,V
2457021.65471,2014-12-30.1524542,bf,1.52,16.635,14.766,0.039,4.758,0.170,V
2457021.65614,2014-12-30.1538825,bf,1.62,16.634,14.721,0.037,4.961,0.171,V
2457024.64990,2015-01-02.1476956,bf,1.57,16.275,14.773,0.055,4.726,0.237,V
2457024.65133,2015-01-02.149125,bf,1.61,16.349,14.707,0.048,5.022,0.222,V
2457029.64539,2015-01-07.1432825,bf,1.53,16.349,14.670,0.047,5.198,0.222,V
2457029.64682,2015-01-07.1447040,bf,1.54,16.307,14.716,0.051,4.985,0.230,V
2457031.67041,2015-01-09.1683413,bf,1.55,16.545,14.812,0.044,4.559,0.185,V
2457031.67185,2015-01-09.1697789,bf,1.53,16.518,14.801,0.045,4.607,0.190,V
2457033.69693,2015-01-11.1949006,bf,1.56,16.613,14.734,0.039,4.902,0.174,V
2457033.69835,2015-01-11.1963226,bf,1.63,16.654,14.800,0.040,4.609,0.168,V
2457034.81729,2015-01-12.3152932,bf,1.77,16.380,14.737,0.048,4.888,0.216,V
2457034.81871,2015-01-12.3167057,bf,1.83,16.443,14.714,0.044,4.992,0.204,V
2457035.80075,2015-01-13.2987666,bf,1.97,16.397,14.794,0.050,4.635,0.213,V
2457035.80217,2015-01-13.3001930,bf,1.75,16.523,14.689,0.040,5.107,0.190,V
2457037.78729,2015-01-15.2853542,bf,1.45,16.611,14.752,0.039,4.821,0.174,V
2457037.78871,2015-01-15.2867803,bf,1.43,16.657,14.717,0.037,4.976,0.167,V
2457040.62673,2015-01-18.1248657,bf,1.57,16.806,14.746,0.033,4.850,0.146,V
2457040.62816,2015-01-18.1262971,bf,1.51,16.774,14.757,0.034,4.802,0.150,V
2457043.64091,2015-01-21.1391253,bf,1.45,16.814,14.718,0.032,4.975,0.145,V
2457043.64234,2015-01-21.1405526,bf,1.45,16.784,14.710,0.032,5.011,0.149,V
2457046.62883,2015-01-24.1271233,bf,1.53,16.786,14.780,0.034,4.698,0.148,V
2457046.63028,2015-01-24.1285761,bf,1.67,16.802,14.752,0.033,4.824,0.146,V
2457050.59257,2015-01-28.0909776,bf,1.52,16.474,14.722,0.044,4.958,0.198,V
2457050.59399,2015-01-28.0924001,bf,1.52,16.523,14.737,0.042,4.890,0.189,V
2457053.62466,2015-01-31.1231666,bf,1.64,16.336,14.718,0.049,4.976,0.224,V
2457053.62608,2015-01-31.1245862,bf,1.61,16.244,14.630,0.049,5.395,0.244,V
2457056.70340,2015-02-03.2019973,bf,1.56,16.117,14.692,0.059,5.093,0.275,V
2457056.70483,2015-02-03.2034336,bf,1.63,16.064,14.860,0.072,4.364,0.288,V
2457058.73166,2015-02-05.2303222,bf,1.68,16.070,14.812,0.069,4.563,0.287,V
2457058.73311,2015-02-05.2317700,bf,1.55,15.985,14.707,0.067,5.025,0.310,V
2457062.66874,2015-02-09.1675298,bf,1.83,16.448,14.812,0.048,4.562,0.203,V
2457062.67017,2015-02-09.1689585,bf,1.72,16.336,14.813,0.054,4.557,0.225,V
2457066.58454,2015-02-13.0834636,bf,1.55,16.688,14.705,0.035,5.033,0.162,V
2457066.58597,2015-02-13.0848923,bf,1.51,16.705,14.786,0.037,4.672,0.160,V
2457069.64027,2015-02-16.1392907,bf,1.51,16.700,14.719,0.035,4.970,0.160,V
2457069.64168,2015-02-16.1407057,bf,1.58,16.707,14.749,0.036,4.836,0.160,V
2457072.57430,2015-02-19.0734314,bf,1.46,16.745,14.708,0.033,5.019,0.154,V
2457072.57573,2015-02-19.0748604,bf,1.47,16.764,14.734,0.034,4.900,0.151,V
2457077.56745,2015-02-24.0667525,bf,1.53,16.662,14.667,0.035,5.213,0.166,V
2457077.56886,2015-02-24.0681660,bf,1.53,16.618,14.748,0.039,4.839,0.173,V
2457080.57257,2015-02-27.0719814,bf,1.47,16.551,14.563,0.035,5.738,0.184,V
2457080.57400,2015-02-27.0734131,bf,1.47,16.577,14.609,0.036,5.498,0.180,V
2457084.59476,2015-03-03.0943150,bf,1.52,16.288,14.606,0.046,5.516,0.234,V
2457084.59616,2015-03-03.0957229,bf,1.48,16.284,14.587,0.046,5.614,0.235,V
2457086.62420,2015-03-05.1238306,bf,1.48,16.057,14.588,0.057,5.609,0.290,V
2457086.62564,2015-03-05.1252689,bf,1.49,16.026,14.651,0.062,5.291,0.299,V
2457089.65191,2015-03-08.1516526,bf,1.52,16.192,14.570,0.049,5.703,0.256,V
2457089.65331,2015-03-08.1530484,bf,1.48,16.110,14.646,0.057,5.314,0.276,V
2457091.65184,2015-03-10.1516575,bf,1.53,16.161,14.658,0.055,5.256,0.264,V
2457093.54732,2015-03-12.0471974,bf,1.53,16.755,14.638,0.031,5.353,0.153,V
2457096.60697,2015-03-15.1069528,bf,1.49,16.656,14.704,0.036,5.042,0.167,V
2457096.60839,2015-03-15.1083815,bf,1.49,16.667,14.632,0.033,5.381,0.165,V
2457099.63111,2015-03-18.1316085,bf,1.53,16.658,14.645,0.034,5.318,0.167,V
2457099.63257,2015-03-18.1330667,bf,1.48,16.598,14.728,0.039,4.927,0.176,V
2457101.56059,2015-03-20.0611600,bf,1.57,16.649,14.706,0.036,5.030,0.168,V
2457101.56203,2015-03-20.0625969,bf,1.61,16.643,14.703,0.037,5.043,0.169,V
2457103.62384,2015-03-22.1244785,bf,1.43,16.384,14.690,0.046,5.105,0.215,V
2457103.62529,2015-03-22.1259447,bf,1.48,16.428,14.638,0.042,5.353,0.206,V
2457110.56877,2015-03-29.0696435,bf,1.40,16.420,14.640,0.042,5.341,0.208,V
2457110.57021,2015-03-29.0710814,bf,1.39,16.408,14.738,0.047,4.885,0.210,V
2457113.56011,2015-04-01.0610756,bf,1.47,16.341,14.807,0.053,4.582,0.223,V
2457113.56155,2015-04-01.0625122,bf,1.41,16.191,14.694,0.055,5.087,0.256,V
2457114.55863,2015-04-02.0596322,bf,1.43,16.168,14.669,0.055,5.203,0.262,V
2457114.56006,2015-04-02.0610600,bf,1.55,16.185,14.648,0.053,5.306,0.258,V
2457116.48728,2015-04-03.9883395,bf,1.51,16.168,14.694,0.056,5.086,0.262,V
2457116.48870,2015-04-03.9897572,bf,1.50,16.272,14.725,0.053,4.941,0.238,V
2457117.56234,2015-04-05.0634325,bf,1.42,16.031,14.623,0.060,5.431,0.297,V
2457117.56377,2015-04-05.0648612,bf,1.43,15.976,14.743,0.070,4.861,0.312,V
2457118.57171,2015-04-06.0728445,bf,1.44,16.233,14.727,0.055,4.936,0.247,V
2457118.57317,2015-04-06.0742894,bf,1.44,16.069,14.667,0.060,5.213,0.287,V
2457119.48268,2015-04-06.9838282,bf,1.55,16.678,14.781,0.038,4.697,0.164,V
2457119.48410,2015-04-06.9852518,bf,1.53,16.657,14.670,0.035,5.199,0.167,V
2457124.52532,2015-04-12.0266159,bf,1.53,16.588,14.710,0.039,5.010,0.178,V
2457124.52673,2015-04-12.0280306,bf,1.51,16.682,14.651,0.034,5.290,0.163,V
2457130.52758,2015-04-18.0290388,bf,1.50,16.623,14.665,0.036,5.223,0.172,V
2457130.52901,2015-04-18.0304670,bf,1.51,16.650,14.714,0.037,4.995,0.168,V
2457131.51813,2015-04-19.0196100,bf,1.47,16.609,14.749,0.039,4.833,0.175,V
2457131.51961,2015-04-19.0210954,bf,1.48,16.669,14.698,0.035,5.069,0.165,V
2457132.53365,2015-04-20.0351570,bf,1.38,15.756,14.792,0.090,4.646,0.385,V
2457132.53506,2015-04-20.0365722,bf,1.42,15.867,14.796,0.083,4.629,0.350,V
2457134.50934,2015-04-22.0108993,bf,1.45,16.685,14.710,0.035,5.010,0.163,V
2457134.51079,2015-04-22.0123490,bf,1.43,16.637,14.688,0.036,5.112,0.170,V
2457137.51972,2015-04-25.0213461,bf,1.51,16.456,14.835,0.049,4.464,0.201,V
2457137.52116,2015-04-25.0227868,bf,1.50,16.531,14.771,0.043,4.738,0.187,V
2457138.51337,2015-04-26.0150206,bf,1.72,16.360,14.769,0.050,4.745,0.219,V
2457141.49104,2015-04-28.9927532,bf,1.54,16.383,14.732,0.048,4.914,0.215,V
2457141.49246,2015-04-28.9941710,bf,1.54,16.420,14.845,0.051,4.424,0.208,V
2457144.50313,2015-05-02.0049057,bf,1.48,15.446,14.645,0.105,5.322,0.509,V
2457144.50455,2015-05-02.0063273,bf,1.53,14.573,>14.573,99.990,3.295,1.137,V
2457145.50384,2015-05-03.0056385,bf,1.45,16.047,14.779,0.068,4.700,0.293,V
2457146.49907,2015-05-04.0008825,bf,1.50,15.975,14.686,0.067,5.121,0.313,V
2457146.50049,2015-05-04.0023081,bf,1.48,15.880,14.771,0.079,4.737,0.341,V
2457148.45688,2015-05-05.9587246,bf,1.41,16.287,14.985,0.066,3.887,0.235,V
2457148.45830,2015-05-05.9601524,bf,1.49,16.420,14.707,0.045,5.024,0.208,V
2457154.46561,2015-05-11.9675474,bf,1.47,16.468,14.742,0.045,4.866,0.199,V
2457154.46703,2015-05-11.9689710,bf,1.58,16.581,14.813,0.043,4.561,0.179,V
2457159.45436,2015-05-16.9563648,bf,1.50,16.327,14.762,0.052,4.779,0.226,V
2457159.45578,2015-05-16.9577793,bf,1.50,16.411,14.767,0.048,4.756,0.209,V
2457160.45757,2015-05-17.9595865,bf,1.53,16.583,14.811,0.043,4.565,0.179,V
2457160.45900,2015-05-17.9610113,bf,1.53,16.590,14.742,0.040,4.866,0.178,V
2457167.44081,2015-05-24.9428837,bf,1.73,15.146,14.533,0.125,5.899,0.671,V
2457167.44222,2015-05-24.9442937,bf,1.57,15.411,14.773,0.122,4.729,0.526,V
2457218.94912,2015-07-15.4507510,bf,1.43,15.925,14.723,0.072,4.949,0.328,V
2457218.95054,2015-07-15.4521677,bf,1.54,15.730,14.412,0.065,6.595,0.392,V
2457222.93131,2015-07-19.4328534,bg,1.66,99.990,99.990,99.990,99.990,99.990,V
2457222.93274,2015-07-19.4342818,bg,1.54,99.990,99.990,99.990,99.990,99.990,V
2457222.94578,2015-07-19.4473193,bf,1.87,15.726,14.600,0.078,5.544,0.394,V
2457223.91474,2015-07-20.4162581,bg,1.60,99.990,99.990,99.990,99.990,99.990,V
2457223.91614,2015-07-20.4176537,bg,1.54,99.990,99.990,99.990,99.990,99.990,V
2457223.93219,2015-07-20.4337059,bf,1.79,16.608,14.745,0.039,4.850,0.175,V
2457223.93375,2015-07-20.4352627,bf,1.65,16.540,14.706,0.040,5.029,0.186,V
2457227.91433,2015-07-24.4157417,bg,1.44,99.990,99.990,99.990,99.990,99.990,V
2457227.91561,2015-07-24.4170306,bg,1.48,99.990,99.990,99.990,99.990,99.990,V
2457228.91556,2015-07-25.4169475,bg,1.37,99.990,99.990,99.990,99.990,99.990,V
2457228.91685,2015-07-25.4182349,bg,1.43,99.990,99.990,99.990,99.990,99.990,V
2457233.91383,2015-07-30.4150774,bf,1.69,16.290,14.753,0.053,4.817,0.234,V
2457234.91203,2015-07-31.4132478,bf,1.69,15.991,14.903,0.080,4.195,0.308,V
2457234.91333,2015-07-31.4145526,bf,1.70,16.014,14.720,0.067,4.962,0.302,V
2457247.88158,2015-08-13.3824067,bf,1.49,16.723,14.749,0.035,4.835,0.157,V
2457248.87521,2015-08-14.3759969,bf,1.57,16.636,14.748,0.038,4.839,0.170,V
2457248.87651,2015-08-14.3772961,bf,1.58,16.638,14.700,0.037,5.056,0.170,V
2457252.88583,2015-08-18.3864850,bf,1.68,16.703,14.721,0.035,4.960,0.160,V
2457252.88713,2015-08-18.3877883,bf,1.65,16.646,14.679,0.036,5.159,0.169,V
2457255.89990,2015-08-21.4004523,bf,1.44,16.267,14.769,0.055,4.745,0.239,V
2457255.90119,2015-08-21.4017436,bf,1.51,16.165,14.634,0.053,5.375,0.263,V
2457255.90249,2015-08-21.4030428,bf,1.58,15.794,14.804,0.088,4.595,0.370,V
2457256.85855,2015-08-22.3590738,bf,1.63,16.663,14.726,0.037,4.939,0.166,V
2457256.85986,2015-08-22.3603853,bf,1.85,16.626,14.744,0.039,4.859,0.172,V
2457256.86116,2015-08-22.3616814,bf,1.75,16.607,14.687,0.037,5.119,0.175,V
2457263.83949,2015-08-29.3397641,bf,1.43,99.990,99.990,99.990,99.990,99.990,V
2457263.84077,2015-08-29.3410513,bf,1.39,14.172,>14.172,99.990,4.174,1.645,V
2457263.84206,2015-08-29.3423364,bf,1.46,15.356,14.542,0.104,5.846,0.553,V
2457264.83176,2015-08-30.3320059,bf,1.48,16.050,14.872,0.074,4.315,0.292,V
2457264.83305,2015-08-30.3332962,bf,1.47,15.869,14.816,0.083,4.548,0.345,V
2457264.83433,2015-08-30.3345733,bf,1.51,15.939,14.666,0.068,5.222,0.323,V
2457266.86236,2015-09-01.3625290,bf,1.50,16.371,14.751,0.049,4.822,0.217,V
2457266.86366,2015-09-01.3638304,bf,1.42,16.199,14.748,0.057,4.837,0.254,V
2457266.86495,2015-09-01.3651194,bf,1.45,16.289,14.659,0.049,5.251,0.234,V
2457269.82368,2015-09-04.3237489,bf,1.39,16.256,14.747,0.054,4.845,0.241,V
2457269.82463,2015-09-04.3246969,bf,1.42,16.219,14.736,0.056,4.891,0.250,V
2457269.82557,2015-09-04.3256387,bf,1.38,16.276,14.880,0.060,4.285,0.237,V
2457276.88561,2015-09-11.3854265,bf,1.41,16.422,14.774,0.048,4.721,0.207,V
2457276.88655,2015-09-11.3863677,bf,1.45,16.542,14.732,0.041,4.909,0.186,V
2457276.88749,2015-09-11.3873090,bf,1.37,16.484,14.772,0.045,4.734,0.196,V
2457277.88902,2015-09-12.3888052,bf,1.40,16.412,14.797,0.049,4.625,0.209,V
2457278.80333,2015-09-13.3030844,bf,1.39,16.438,14.774,0.047,4.723,0.204,V
2457278.80429,2015-09-13.3040373,bf,1.41,16.524,14.762,0.043,4.776,0.189,V
2457278.80524,2015-09-13.3049880,bf,1.41,16.409,14.750,0.047,4.829,0.210,V
2457282.81362,2015-09-17.3132283,bf,1.42,16.451,14.745,0.045,4.849,0.202,V
2457282.81455,2015-09-17.3141649,bf,1.38,16.406,14.774,0.049,4.726,0.210,V
2457282.81550,2015-09-17.3151034,bf,1.41,16.434,14.647,0.042,5.312,0.205,V
2457287.87842,2015-09-22.3778548,bf,1.43,16.416,14.742,0.047,4.866,0.208,V
2457287.87935,2015-09-22.3787870,bf,1.41,16.470,14.746,0.045,4.849,0.198,V
2457287.88028,2015-09-22.3797178,bf,1.42,16.449,14.759,0.046,4.789,0.202,V
2457288.80327,2015-09-23.3026694,bf,1.44,16.731,14.729,0.034,4.925,0.156,V
2457288.80453,2015-09-23.3039361,bf,1.39,16.672,14.686,0.035,5.122,0.165,V
2457288.80580,2015-09-23.3052030,bf,1.42,16.766,14.722,0.033,4.955,0.151,V
2457291.85036,2015-09-26.3496640,bf,1.39,16.117,14.739,0.062,4.876,0.275,V
2457291.85163,2015-09-26.3509337,bf,1.43,16.152,14.739,0.060,4.879,0.266,V
2457291.85291,2015-09-26.3522096,bf,1.43,16.391,14.709,0.046,5.015,0.213,V
2457294.76065,2015-09-29.2598578,bf,1.42,15.988,14.697,0.067,5.072,0.309,V
2457294.76194,2015-09-29.2611445,bf,1.47,16.099,14.743,0.063,4.862,0.279,V
2457294.76322,2015-09-29.2624239,bf,1.42,16.166,14.672,0.055,5.187,0.262,V
2457297.81166,2015-10-02.3107630,bf,1.58,16.477,14.751,0.045,4.821,0.197,V
2457297.81294,2015-10-02.3120497,bf,1.54,16.399,14.756,0.048,4.800,0.212,V
2457297.81423,2015-10-02.3133373,bf,1.53,16.513,14.718,0.042,4.975,0.191,V
2457303.79102,2015-10-08.2899458,bf,1.48,16.704,14.675,0.034,5.178,0.160,V
2457303.79230,2015-10-08.2912193,bf,1.44,16.747,14.744,0.034,4.857,0.154,V
2457303.79359,2015-10-08.2925141,bf,1.48,16.700,14.748,0.036,4.838,0.161,V
2457306.74453,2015-10-11.2433590,bf,1.40,16.707,14.651,0.033,5.291,0.159,V
2457306.74580,2015-10-11.2446341,bf,1.41,16.682,14.665,0.034,5.223,0.163,V
2457306.74709,2015-10-11.2459187,bf,1.45,16.629,14.619,0.034,5.452,0.172,V
