HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458841.50276,2019-12-24.0008302,bn,1.49,17.168,15.083,0.032,3.362,0.099,g
2458841.83477,2019-12-24.3328425,bF,1.61,17.100,15.114,0.035,3.270,0.105,g
2458841.83604,2019-12-24.3341143,bF,1.58,17.120,15.058,0.033,3.444,0.103,g
2458841.83733,2019-12-24.3354011,bF,1.60,17.086,15.034,0.033,3.521,0.107,g
2458842.74954,2019-12-25.2476203,bF,1.65,17.179,15.074,0.031,3.391,0.098,g
2458842.75080,2019-12-25.2488848,bF,1.54,17.156,15.037,0.031,3.509,0.100,g
2458842.75208,2019-12-25.2501631,bF,1.62,17.140,15.059,0.032,3.440,0.101,g
2458843.67325,2019-12-26.1713548,bj,1.57,17.011,15.051,0.036,3.466,0.114,g
2458843.67448,2019-12-26.1725799,bj,1.57,17.028,15.060,0.036,3.438,0.112,g
2458843.67571,2019-12-26.1738111,bj,1.61,17.027,15.063,0.036,3.424,0.112,g
2458844.65186,2019-12-27.1499601,bj,1.55,17.077,15.088,0.035,3.348,0.107,g
2458844.65307,2019-12-27.1511833,bj,1.54,17.104,15.124,0.035,3.239,0.105,g
2458844.65429,2019-12-27.1524039,bj,1.63,17.090,15.081,0.034,3.368,0.106,g
2458846.73688,2019-12-29.2350148,bF,1.66,17.094,15.054,0.033,3.456,0.106,g
2458847.77045,2019-12-30.2686001,bj,1.62,99.990,99.990,99.990,99.990,99.990,g
2458847.77166,2019-12-30.2698114,bj,1.55,99.990,99.990,99.990,99.990,99.990,g
2458847.77288,2019-12-30.2710288,bj,1.56,99.990,99.990,99.990,99.990,99.990,g
2458849.34635,2019-12-31.8445280,bn,1.51,17.127,15.084,0.033,3.360,0.103,g
2458849.34758,2019-12-31.8457510,bn,1.56,17.129,15.081,0.033,3.372,0.103,g
2458849.34878,2019-12-31.8469665,bn,1.56,17.147,15.087,0.033,3.351,0.101,g
2458849.78300,2020-01-01.2811804,bF,1.57,17.097,15.074,0.034,3.393,0.105,g
2458849.78430,2020-01-01.2824791,bF,1.59,17.123,15.110,0.034,3.283,0.103,g
2458849.78557,2020-01-01.2837471,bF,1.63,17.121,15.069,0.033,3.407,0.103,g
2458850.55658,2020-01-02.0547690,bF,1.51,17.018,15.063,0.036,3.427,0.113,g
